Time,anxbtc,bitmarket,btcmarkets,mtgox
2012-11-02 00:00:00 UTC,,,,10.3794403703704
2012-11-03 00:00:00 UTC,,,,10.2450836666667
2012-11-04 00:00:00 UTC,,,,10.1598
2012-11-05 00:00:00 UTC,,,,10.2987325714286
2012-11-06 00:00:00 UTC,,,,10.5512877935067
2012-11-07 00:00:00 UTC,,,,10.6669809285714
2012-11-08 00:00:00 UTC,,,,10.6971637714286
2012-11-09 00:00:00 UTC,,,,10.4972126666667
2012-11-10 00:00:00 UTC,,,,10.5
2012-11-11 00:00:00 UTC,,,,10.61087
2012-11-12 00:00:00 UTC,,,,10.7922723955127
2012-11-13 00:00:00 UTC,,,,10.7480773402778
2012-11-14 00:00:00 UTC,,,,10.7595466314935
2012-11-15 00:00:00 UTC,,,,10.7417986886724
2012-11-16 00:00:00 UTC,,,,11.1299638925388
2012-11-17 00:00:00 UTC,,,,11.4387987777778
2012-11-18 00:00:00 UTC,,,,11.3191621683673
2012-11-19 00:00:00 UTC,,,,11.3715788680927
2012-11-20 00:00:00 UTC,,,,11.4796233983873
2012-11-21 00:00:00 UTC,,,,11.4602125838306
2012-11-22 00:00:00 UTC,,,,11.6618844021294
2012-11-23 00:00:00 UTC,,,,11.9331994159226
2012-11-24 00:00:00 UTC,,,,11.932037319224
2012-11-25 00:00:00 UTC,,,,12.0204132638889
2012-11-26 00:00:00 UTC,,,,12.0890349385032
2012-11-27 00:00:00 UTC,,,,11.8411470205628
2012-11-28 00:00:00 UTC,,,,11.9380535592617
2012-11-29 00:00:00 UTC,,,,11.9938045542911
2012-11-30 00:00:00 UTC,,,,12.1704474583333
2012-12-01 00:00:00 UTC,,,,12.1671963333333
2012-12-02 00:00:00 UTC,,,,12.2688491666667
2012-12-03 00:00:00 UTC,,,,12.1419774141414
2012-12-04 00:00:00 UTC,,,,12.5082134293435
2012-12-05 00:00:00 UTC,,,,12.7883355004902
2012-12-06 00:00:00 UTC,,,,12.8829141020408
2012-12-07 00:00:00 UTC,,,,12.9387148344988
2012-12-08 00:00:00 UTC,,,,12.9837221428571
2012-12-09 00:00:00 UTC,,,,12.8168274074074
2012-12-10 00:00:00 UTC,,,,13.0054637198815
2012-12-11 00:00:00 UTC,,,,13.1405918344671
2012-12-12 00:00:00 UTC,,,,13.2912478415694
2012-12-13 00:00:00 UTC,,,,13.2294168715042
2012-12-14 00:00:00 UTC,,,,13.2584907725461
2012-12-15 00:00:00 UTC,,,,13.1251429320988
2012-12-16 00:00:00 UTC,,,,13.0964977602259
2012-12-17 00:00:00 UTC,,,,12.8091428374644
2012-12-18 00:00:00 UTC,,,,12.8829506731274
2012-12-19 00:00:00 UTC,,,,12.9720053611698
2012-12-20 00:00:00 UTC,,,,13.2005329841477
2012-12-21 00:00:00 UTC,,,,13.144485688987
